Title,OriginalArtist,Album,Key,Length,YouTubeUrl,SpotifyUrl,SongsterrUrl,Genre
Sweet Emotion,Aerosmith,,,,,,,Classic Rock
Kashmir,Led Zeppelin,,,,,,,Classic Rock
Gimme Shelter,The Rolling Stones,,,,,,,Classic Rock
Back in Black,AC/DC,,,,,,,Classic Rock
A Day in the Life,The Beatles,,,,,,,Classic Rock
All Along the Watchtower,The Jimi Hendrix Experience,,,,,,,Classic Rock
Bohemian Rhapsody,Queen,,,,,,,Classic Rock
Everybody Wants Some!!,Van Halen,,,,,,,Classic Rock
Comfortably Numb,Pink Floyd,,,,,,,Classic Rock
Paranoid,Black Sabbath,,,,,,,Classic Rock
Baba O'Riley,The Who,,,,,,,Classic Rock
Sweet Child O' Mine,Guns N' Roses,,,,,,,Classic Rock
Don't Stop Believin',Journey,,,,,,,Classic Rock
Sweet Home Alabama,Lynyrd Skynyrd,,,,,,,Classic Rock
Fortunate Son,Creedence Clearwater Revival,,,,,,,Classic Rock
Born to Run,Bruce Springsteen,,,,,,,Classic Rock
Crazy Train,Ozzy Osbourne,,,,,,,Classic Rock
L.A. Woman,The Doors,,,,,,,Classic Rock
La Grange,ZZ Top,,,,,,,Classic Rock
Hotel California,Eagles,,,,,,,Classic Rock
Like a Rolling Stone,Bob Dylan,,,,,,,Classic Rock
Turn the Page,Bob Seger & the Silver Bullet Band,,,,,,,Classic Rock
Imagine,John Lennon,,,,,,,Classic Rock
Stranglehold,Ted Nugent,,,,,,,Classic Rock
Free Fallin',Tom Petty,,,,,,,Classic Rock
Rock and Roll All Nite,Kiss,,,,,,,Classic Rock
Layla,Derek and the Dominos,,,,,,,Classic Rock
More Than a Feeling,Boston,,,,,,,Classic Rock
Space Oddity,David Bowie,,,,,,,Classic Rock
Suite: Judy Blue Eyes,"Crosby, Stills & Nash",,,,,,,Classic Rock
Enter Sandman,Metallica,,,,,,,Classic Rock
Smoke on the Water,Deep Purple,,,,,,,Classic Rock
Sunshine of Your Love,Cream,,,,,,,Classic Rock
Rockin' in the Free World,Neil Young,,,,,,,Classic Rock
Just What I Needed,The Cars,,,,,,,Classic Rock
Ramblin' Man,The Allman Brothers Band,,,,,,,Classic Rock
Rocket Man,Elton John,,,,,,,Classic Rock
Live and Let Die,Paul McCartney & Wings,,,,,,,Classic Rock
Sultans of Swing,Dire Straits,,,,,,,Classic Rock
